,wordcount,images_number,links_number,title_keywords,body_keywords,url,clickbait
53,515,1,0,1,7,https://decoideas.hola.com/popytee/20171221/2741/,True
54,563,3,3,0,3,https://www.hola.com/ninos/2017091999484/jennifer-garner-comida-ecologica/,True
55,343,0,0,1,3,https://us.hola.com/cine/2018050422322/ines-gomez-mont-baby-shower-maria/,True
56,551,3,4,0,2,https://www.hola.com/cocina/20180118104780/bizcocho-de-limon-con-frosting-hk/,True
57,607,3,5,1,34,https://www.hola.com/actualidad/20180427123429/alba-carrillo-cumpleanos-novio-david-vallespin-moda/,True
58,681,11,0,0,5,https://fashionweek.hola.com/madrid/otono-invierno-2018-2019m/noticias/galeria/201801263698/fashion-week-madrid-backstage-loreal/2/,True
59,956,7,14,0,12,https://hola.com/cocina/noticiaslibros/20180423123181/masterchef-6-programa-1-resumen-expulsion-fernando/,True
60,280,7,0,1,6,https://ac.hola.com/lifestyle/20170124504/Chanel-primavera-verano-2017-espejos-moda/,True
61,553,5,6,0,9,https://www.hola.com/actualidad/20180221120700/george-amal-clooney-donacion-control-armas-gt/,True
62,272,0,0,1,6,https://us.hola.com/moda/2018050312366/kylie-jenner-travis-scott-vacation-dior-forever21/,True
63,656,4,8,1,23,https://hola.com/actualidad/20180504123651/david-bustamante-ensayos-bailando-con-las-estrellas/#comentarios,True
64,16,1,0,0,0,https://www.hola.com/moda/alfombra-roja/visores/premios-goya-2013/goya-2013/1/,True
65,539,5,7,1,11,https://ac.hola.com/realeza/casa_inglesa/20171221103736/harry-meghan-markle-fotos-oficiales-compromiso/,True
66,310,4,4,1,4,https://www.hola.com/ninos/20180215120423/brock-collection-coleccion-capsula-moda/,True
67,640,4,6,2,11,https://www.hola.com/novias/20180428123492/laura-ponte-diseadora-vestidos-novia-moda/,True
68,267,4,0,1,4,https://ac.hola.com/actualidad/201712131791/imagenes-antonio-banderas-como-pablo-picasso/,True
69,445,8,0,1,9,https://ac.hola.com/belleza/galeria/2017112920383/karlie-kloss-rutina-belleza-victorias-secret/1/,True
70,675,0,0,0,5,https://us.hola.com/belleza/2018050412250/emily-ratajkowski-ejercicios-para-gluteos-vv/,True
71,423,3,3,1,14,https://hola.com/actualidad/20180504123695/laura-m-flores-foto-hijo-matias/,True
72,434,4,6,1,11,https://mx.hola.com/actualidad/20180504123673/ariana-grande-emocion-primera-entrevista-tras-manchester/,True
73,400,22,2,0,11,https://hola.com/sociedad/20180426123402/infanta-pilar-nuevo-futuro-50-aniversario/,True
74,624,24,2,0,12,https://www.hola.com/sociedad/20180430123527/nieves-alvarez-presentadora-premios-arquitectura-interiorismo-porcelanosa/,True
75,416,3,2,1,5,https://www.hola.com/ninos/20180222120761/coleccion-infantil-sarah-jessica-parker-moda/,True
76,454,3,3,0,11,https://www.hola.com/moda/modelos/20180503123591/gigi-hadid-zayn-malik-beso-posible-reconciliacion/,True
77,1367,17,1,0,10,https://www.hola.com/cocina/noticiaslibros/20180420122897/tartas-zanahoria-carrot-cakes-mejores/,True
78,642,8,10,0,5,https://hola.com/viajes/20180216120475/ibiza-gran-hotel-baleares/,True
79,269,44,1,0,0,https://fashionweek.hola.com/madrid/otono-invierno-2018-2019m/desfiles/201801263694/fashion-week-madrid-desfile-ana-locking/,True
80,712,7,5,0,5,https://www.hola.com/realeza/casa_espanola/20180425123332/reyes-felipe-letizia-almuerzo-enrique-pena-nieto-angelica-rivera/,True
81,626,2,4,1,3,https://oscars.hola.com/oscar-2018/201803053808/oscars-2018-emily-blunt-vestido-moda/,True
82,15,49,0,0,0,https://www.hola.com/moda/modistos/080-barcelona-fashion-otono-invierno-2017-2018/,True
83,775,17,10,1,6,https://www.hola.com/decoracion/20180504123557/nueva-casa-eva-mendes-ryan-gosling/,True
84,806,7,5,0,11,https://fashion.hola.com/tendencias/2018021364415/que-ponerse-primera-cita-consejos-estilista/,True
85,365,5,2,0,5,https://www.hola.com/ninos/20180320121839/anine-bing-firma-infantil-moda/,True
86,901,14,4,1,16,https://www.hola.com/actualidad/20180330122232/duque-alba-francisco-rivera-procesion-semana-santa/,True
87,446,5,3,1,9,https://hola.com/novias/20180429123503/marin-cilic-kristina-milkovic-boda-moda/,True
88,607,15,1,0,7,https://www.hola.com/novias/20171123102337/vestidos-invitada-por-menos-90-euros/,True
89,530,22,2,0,21,https://hola.com/sociedad/20180419123059/boda-elisa-pablo-deportistas/,True
90,730,2,7,1,19,https://www.hola.com/actualidad/20180214120357/ot-anecdotas-fiesta-final/,True
91,342,7,1,2,5,https://www.hola.com/novias/20180425123331/barcelona-bridal-week-cronica-desfile-rosa-clara-2019/,True
92,358,1,0,0,15,https://decoideas.hola.com/popytee/20171120/picnic-otonal/,True
93,453,6,3,0,4,https://www.hola.com/sociedad/20180427123244/lado-solidario-open-banc-sabadell-torneo-conde-godo/,True
94,1416,4,4,0,3,https://hola.com/ninos/20180418123053/campamentos-verano-por-que-los-rechazan-algunos-ninos/,True
95,513,0,0,0,3,https://us.hola.com/en/royalty/meghan-markle-principe-harry-wedding/2018050411915/royal-wedding-meghan-markle-dad-mom-special-roles/,True
96,564,3,1,1,0,https://www.hola.com/ninos/2017092199606/meriendan-correctamente-tus-hijos/,True
97,342,4,4,0,6,https://www.hola.com/moda/actualidad/20180427123433/premios-billboard-latinos-2018-agueda-lopez-transparencias/,True
98,171,11,0,0,3,https://us.hola.com/en/fashion/gallery/2018050411919/chanel-cruise-2019-front-row-runway/1/,True
99,492,5,8,1,18,https://www.hola.com/ninos/20171204102944/kim-kardashian-coleccion-moda-infantil-gt/,True
100,126,1,1,0,0,https://hola.com/realeza/casa_inglesa/20180430123524/titulo-principe-louis-princesa-charlotte-moda/,True
101,432,24,2,1,22,https://hola.com/sociedad/20180423123224/boda-jaime-bea-palma-mallorca-castillo-palma-mallorca/,True
102,2935,8,10,1,18,https://www.hola.com/cocina/nutricion/20180404122375/entrevista-aitor-sanchez-libro-mi-dieta-ya-no-cojea/,True
103,651,5,0,0,6,https://ac.hola.com/personajes/20170130514/Nina-Sebastian-Cardenal-Nicaragua-personaje-duo-musical-2017/,True
104,585,6,11,0,5,https://www.hola.com/decoracion/20180319121760/tendencia-decoracion-raw/,True
105,371,15,0,0,11,https://www.hola.com/actualidad/20180504123662/fiesta-bulgari-omnia-pink-saphire-belleza/,True
106,420,4,1,1,9,https://www.hola.com/novias/20180412122619/lugares-celebracion-bodas-intimas-hotel-hesperia/,True
